Churn,customer.gender,customer.SeniorCitizen,customer.Partner,customer.Dependents,customer.tenure,phone.PhoneService,phone.MultipleLines,internet.InternetService,internet.OnlineSecurity,internet.OnlineBackup,internet.DeviceProtection,internet.TechSupport,internet.StreamingTV,internet.StreamingMovies,account.Contract,account.PaperlessBilling,account.PaymentMethod,account.Charges.Monthly,Cuentas_Diarias,account.Charges.Total
yes,male,1,yes,no,72,yes,yes,fiber optic,no,yes,yes,no,yes,yes,two year,yes,bank transfer (automatic),104.15,3.47,7689.95
no,male,0,no,no,22,yes,yes,fiber optic,no,no,no,no,no,yes,month-to-month,no,electronic check,83.05,2.77,1799.3
yes,female,0,no,no,3,yes,no,fiber optic,no,yes,no,no,yes,no,month-to-month,no,electronic check,83.75,2.79,247.25
no,female,1,yes,no,60,yes,yes,fiber optic,no,yes,no,no,no,yes,month-to-month,no,electronic check,89.45,2.98,5294.6
yes,female,0,no,no,3,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,no,electronic check,75.25,2.51,242.0
no,male,0,no,yes,1,yes,no,no,no,no,no,no,no,no,month-to-month,no,mailed check,19.55,0.65,19.55
yes,male,0,no,no,7,yes,no,fiber optic,no,no,yes,no,no,no,month-to-month,no,mailed check,74.65,2.49,544.55
no,male,1,yes,no,4,no,no,dsl,no,no,yes,no,no,no,month-to-month,yes,electronic check,29.9,1.0,118.25
no,female,0,no,no,13,yes,no,fiber optic,no,no,no,no,no,yes,month-to-month,yes,electronic check,80.5,2.68,1011.8
no,male,0,no,no,3,yes,no,dsl,yes,no,no,no,no,no,month-to-month,yes,mailed check,50.15,1.67,160.85
no,female,1,no,no,63,yes,yes,fiber optic,no,no,yes,no,no,yes,month-to-month,yes,bank transfer (automatic),89.6,2.99,5538.8
no,female,0,no,no,36,yes,no,dsl,yes,yes,yes,yes,yes,no,one year,yes,mailed check,76.35,2.54,2606.35
no,female,0,no,no,54,yes,no,fiber optic,yes,yes,no,no,yes,yes,one year,yes,credit card (automatic),100.05,3.34,5299.65
no,female,0,no,no,47,yes,no,no,no,no,no,no,no,no,two year,no,credit card (automatic),20.25,0.68,1029.8
no,female,0,yes,no,41,yes,no,no,no,no,no,no,no,no,two year,no,credit card (automatic),20.65,0.69,875.55
no,female,0,no,yes,13,yes,no,dsl,no,no,yes,yes,no,no,month-to-month,no,mailed check,53.45,1.78,718.1
yes,female,0,no,no,35,yes,yes,fiber optic,no,no,yes,no,yes,yes,month-to-month,yes,electronic check,100.25,3.34,3527.6
yes,male,0,no,no,10,yes,yes,fiber optic,no,yes,no,no,no,no,month-to-month,yes,bank transfer (automatic),80.7,2.69,788.8
no,female,0,yes,yes,30,yes,no,dsl,no,yes,yes,yes,yes,yes,two year,no,bank transfer (automatic),80.8,2.69,2369.3
no,male,0,yes,yes,44,yes,no,fiber optic,no,no,yes,no,yes,yes,month-to-month,yes,bank transfer (automatic),92.95,3.1,4122.9
no,female,0,yes,yes,47,yes,yes,dsl,yes,yes,no,yes,yes,yes,two year,yes,credit card (automatic),85.3,2.84,4107.25
yes,male,1,yes,no,58,yes,yes,fiber optic,no,no,yes,no,yes,yes,month-to-month,yes,electronic check,98.7,3.29,5812.6
no,male,0,no,no,52,no,no,dsl,no,yes,no,no,no,no,one year,no,mailed check,30.1,1.0,1623.4
yes,female,0,no,no,7,yes,no,fiber optic,no,no,no,no,yes,no,month-to-month,yes,mailed check,80.3,2.68,526.7
yes,male,1,yes,no,20,yes,no,fiber optic,no,yes,no,no,no,no,month-to-month,yes,electronic check,73.65,2.46,1463.5
yes,male,0,no,no,13,yes,yes,fiber optic,yes,no,no,no,yes,yes,month-to-month,no,mailed check,98.15,3.27,1230.25
no,male,0,yes,yes,12,no,no,dsl,no,yes,no,yes,no,no,month-to-month,no,mailed check,35.5,1.18,432.25
no,female,0,no,no,54,yes,no,fiber optic,no,no,yes,no,yes,yes,one year,yes,credit card (automatic),94.1,3.14,5060.9
no,female,0,no,no,13,yes,no,no,no,no,no,no,no,no,one year,no,electronic check,19.65,0.65,244.8
no,female,0,no,no,7,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,yes,mailed check,69.9,2.33,497.3
no,male,0,no,no,42,yes,yes,fiber optic,yes,yes,yes,no,no,yes,one year,yes,electronic check,99.0,3.3,4298.45
no,male,0,yes,yes,65,yes,yes,fiber optic,no,no,yes,yes,yes,yes,two year,yes,bank transfer (automatic),104.1,3.47,6700.05
no,male,0,no,yes,49,yes,yes,fiber optic,yes,yes,yes,no,yes,yes,one year,yes,credit card (automatic),109.2,3.64,5290.45
no,female,0,yes,yes,62,yes,no,no,no,no,no,no,no,no,two year,no,bank transfer (automatic),20.3,0.68,1296.15
yes,male,0,no,no,32,yes,no,fiber optic,no,no,no,yes,yes,yes,month-to-month,yes,electronic check,96.2,3.21,3183.4
no,female,0,yes,yes,11,yes,no,no,no,no,no,no,no,no,one year,yes,mailed check,20.0,0.67,196.35
yes,female,0,no,no,1,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,yes,mailed check,70.8,2.36,70.8
no,male,0,yes,yes,37,yes,no,no,no,no,no,no,no,no,one year,no,credit card (automatic),19.8,0.66,677.05
yes,male,0,no,no,1,yes,no,fiber optic,no,no,no,no,yes,yes,month-to-month,yes,electronic check,89.55,2.98,89.55
no,female,0,no,no,1,yes,no,no,no,no,no,no,no,no,month-to-month,no,mailed check,19.65,0.65,19.65
no,female,0,yes,no,69,yes,yes,no,no,no,no,no,no,no,two year,no,bank transfer (automatic),24.25,0.81,1641.8
no,female,0,yes,yes,72,yes,no,dsl,yes,yes,yes,no,yes,no,two year,yes,credit card (automatic),70.65,2.36,5011.15
no,female,0,yes,no,26,yes,yes,dsl,yes,yes,yes,yes,yes,yes,one year,yes,credit card (automatic),90.1,3.0,2312.55
no,female,0,no,no,3,no,no,dsl,no,yes,no,no,no,no,month-to-month,no,mailed check,29.2,0.97,98.5
no,male,0,yes,no,62,no,no,dsl,no,no,no,yes,yes,no,two year,yes,bank transfer (automatic),39.0,1.3,2337.45
yes,male,0,yes,yes,69,yes,yes,fiber optic,no,no,yes,no,yes,yes,month-to-month,yes,credit card (automatic),99.45,3.32,7007.6
no,male,0,yes,yes,26,yes,no,dsl,no,no,yes,no,no,no,one year,no,mailed check,50.35,1.68,1285.8
no,female,0,yes,yes,40,no,no,dsl,no,yes,no,no,yes,yes,month-to-month,yes,electronic check,50.85,1.7,2036.55
no,female,0,yes,no,33,yes,no,dsl,no,no,no,yes,no,no,one year,yes,mailed check,51.45,1.72,1758.9
no,female,0,yes,yes,72,yes,yes,dsl,yes,yes,yes,yes,no,yes,two year,no,bank transfer (automatic),80.85,2.7,5824.75
no,female,0,no,no,3,yes,no,dsl,no,no,no,no,yes,no,month-to-month,yes,electronic check,54.2,1.81,140.4
yes,male,0,no,no,18,yes,no,dsl,yes,no,no,no,no,no,month-to-month,no,electronic check,49.4,1.65,874.8
no,female,1,yes,no,68,yes,no,dsl,no,yes,yes,yes,no,no,one year,yes,bank transfer (automatic),60.65,2.02,3975.9
no,female,0,no,yes,19,yes,no,dsl,no,no,no,yes,no,no,month-to-month,no,mailed check,48.8,1.63,953.65
no,male,1,no,yes,7,yes,no,dsl,no,no,no,no,no,no,month-to-month,yes,mailed check,45.75,1.52,344.2
yes,male,0,no,no,1,yes,no,no,no,no,no,no,no,no,month-to-month,yes,mailed check,20.1,0.67,20.1
no,male,1,no,yes,56,yes,no,fiber optic,yes,no,no,no,yes,yes,one year,no,credit card (automatic),94.8,3.16,5264.3
yes,female,0,no,no,7,yes,no,no,no,no,no,no,no,no,month-to-month,no,bank transfer (automatic),20.0,0.67,137.6
yes,male,0,no,no,5,yes,no,fiber optic,no,no,yes,no,yes,yes,month-to-month,no,bank transfer (automatic),96.5,3.22,492.55
no,female,1,yes,no,66,yes,yes,fiber optic,no,yes,no,no,yes,yes,month-to-month,yes,electronic check,100.8,3.36,6690.75
no,male,0,no,yes,7,yes,no,no,no,no,no,no,no,no,one year,no,mailed check,19.45,0.65,136.75
no,male,0,no,no,1,yes,no,no,no,no,no,no,no,no,month-to-month,no,mailed check,19.05,0.64,19.05
no,male,1,no,no,8,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,69.7,2.32,572.85
no,female,0,yes,yes,62,yes,yes,fiber optic,no,yes,no,yes,yes,yes,one year,yes,credit card (automatic),106.05,3.53,6703.5
no,female,0,yes,no,56,yes,yes,fiber optic,no,yes,yes,yes,no,no,month-to-month,no,electronic check,90.55,3.02,5116.6
no,female,0,no,no,41,yes,yes,no,no,no,no,no,no,no,one year,yes,mailed check,24.85,0.83,962.25
no,male,0,no,no,57,yes,no,dsl,yes,no,yes,no,yes,yes,two year,yes,bank transfer (automatic),74.35,2.48,4317.35
yes,female,0,yes,no,1,no,no,dsl,no,no,no,no,no,no,month-to-month,yes,electronic check,24.8,0.83,24.8
no,female,0,no,no,38,yes,no,fiber optic,no,no,no,no,yes,yes,one year,yes,mailed check,89.1,2.97,3342.0
yes,male,0,yes,no,11,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,74.95,2.5,825.7
no,female,0,no,no,26,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,yes,credit card (automatic),69.05,2.3,1815.65
no,female,0,yes,yes,72,yes,no,dsl,yes,no,yes,yes,yes,yes,two year,yes,bank transfer (automatic),80.45,2.68,5886.85
no,male,1,yes,no,30,yes,yes,fiber optic,no,no,no,yes,yes,yes,month-to-month,yes,electronic check,101.5,3.38,2917.65
yes,male,0,no,no,1,yes,no,no,no,no,no,no,no,no,month-to-month,no,mailed check,19.55,0.65,19.55
yes,female,0,no,no,1,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,70.85,2.36,70.85
no,female,0,yes,yes,68,yes,yes,dsl,yes,yes,yes,yes,no,yes,one year,yes,electronic check,78.45,2.62,5333.35
no,female,1,yes,no,63,yes,yes,fiber optic,no,yes,yes,no,yes,yes,month-to-month,yes,electronic check,103.5,3.45,6479.4
no,male,0,yes,yes,60,yes,no,dsl,yes,yes,no,yes,yes,yes,month-to-month,yes,credit card (automatic),79.05,2.64,4663.4
no,male,0,yes,yes,19,yes,no,no,no,no,no,no,no,no,month-to-month,no,mailed check,20.6,0.69,414.95
yes,female,0,yes,yes,12,yes,no,no,no,no,no,no,no,no,one year,no,bank transfer (automatic),19.8,0.66,229.6
yes,female,0,no,no,41,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,no,bank transfer (automatic),70.25,2.34,2868.05
no,female,0,no,yes,25,yes,no,dsl,no,yes,no,yes,no,no,one year,yes,credit card (automatic),54.75,1.82,1266.35
no,female,0,no,no,71,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,two year,yes,credit card (automatic),113.15,3.77,7993.3
yes,male,0,yes,no,56,yes,yes,no,no,no,no,no,no,no,two year,yes,credit card (automatic),25.15,0.84,1327.15
no,female,0,yes,yes,8,yes,no,no,no,no,no,no,no,no,month-to-month,no,credit card (automatic),21.05,0.7,139.75
no,male,0,no,no,20,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,no,credit card (automatic),70.55,2.35,1493.55
no,male,0,no,no,43,yes,no,no,no,no,no,no,no,no,two year,no,mailed check,19.55,0.65,876.15
no,female,0,yes,no,17,no,no,dsl,no,yes,yes,no,no,no,month-to-month,yes,credit card (automatic),35.65,1.19,646.05
no,female,0,yes,yes,44,yes,no,no,no,no,no,no,no,no,month-to-month,no,mailed check,19.6,0.65,780.25
no,female,0,no,no,2,yes,no,no,no,no,no,no,no,no,month-to-month,no,mailed check,19.5,0.65,27.55
no,female,0,yes,yes,71,yes,no,no,no,no,no,no,no,no,two year,no,credit card (automatic),19.9,0.66,1397.3
no,female,0,yes,yes,72,yes,no,fiber optic,yes,yes,yes,yes,yes,yes,two year,yes,bank transfer (automatic),108.65,3.62,7726.35
no,female,0,no,no,18,yes,no,no,no,no,no,no,no,no,month-to-month,no,mailed check,19.65,0.65,391.7
no,female,1,yes,no,67,yes,yes,fiber optic,yes,yes,yes,yes,no,yes,one year,yes,credit card (automatic),105.4,3.51,7035.6
no,female,0,yes,yes,56,yes,yes,fiber optic,yes,no,yes,yes,yes,yes,month-to-month,yes,mailed check,109.6,3.65,5953.0
yes,male,0,yes,yes,1,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,yes,mailed check,69.9,2.33,69.9
no,male,0,yes,yes,69,yes,no,fiber optic,no,yes,no,yes,yes,no,two year,yes,mailed check,92.15,3.07,6480.9
no,male,0,yes,yes,1,yes,no,no,no,no,no,no,no,no,one year,no,credit card (automatic),19.85,0.66,19.85
yes,male,0,no,no,1,yes,no,no,no,no,no,no,no,no,month-to-month,no,mailed check,20.15,0.67,20.15
no,male,0,yes,yes,25,yes,no,no,no,no,no,no,no,no,one year,no,electronic check,19.9,0.66,505.45
yes,female,1,no,no,1,yes,yes,fiber optic,no,no,no,no,no,yes,month-to-month,yes,electronic check,85.05,2.84,85.05
no,male,0,yes,no,55,yes,yes,no,no,no,no,no,no,no,two year,no,bank transfer (automatic),25.7,0.86,1443.65
no,female,0,yes,yes,53,yes,no,fiber optic,no,yes,yes,yes,yes,yes,month-to-month,yes,bank transfer (automatic),108.25,3.61,5935.1
no,female,0,yes,no,59,yes,no,no,no,no,no,no,no,no,one year,no,mailed check,20.35,0.68,1267.0
yes,male,1,yes,no,16,yes,yes,fiber optic,no,no,yes,no,yes,yes,month-to-month,yes,electronic check,98.75,3.29,1587.55
no,female,0,no,yes,7,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,71.05,2.37,472.65
no,female,1,yes,no,3,no,no,dsl,no,yes,no,no,no,no,month-to-month,yes,electronic check,30.75,1.02,82.85
no,male,1,yes,no,64,yes,yes,no,no,no,no,no,no,no,two year,no,credit card (automatic),25.65,0.86,1740.8
no,female,0,yes,yes,51,yes,no,dsl,yes,yes,yes,yes,yes,yes,two year,no,credit card (automatic),85.5,2.85,4421.95
yes,male,0,no,yes,1,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,no,bank transfer (automatic),69.75,2.33,69.75
no,female,0,yes,yes,69,yes,no,no,no,no,no,no,no,no,one year,yes,credit card (automatic),20.35,0.68,1442.65
yes,female,0,yes,yes,1,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,yes,mailed check,69.1,2.3,69.1
no,male,0,yes,no,38,yes,no,no,no,no,no,no,no,no,two year,no,bank transfer (automatic),20.4,0.68,743.5
yes,female,0,no,no,3,yes,no,no,no,no,no,no,no,no,month-to-month,yes,mailed check,19.6,0.65,59.75
no,male,0,yes,yes,56,yes,yes,dsl,yes,yes,no,yes,no,yes,two year,yes,credit card (automatic),75.85,2.53,4261.2
no,male,0,yes,no,63,yes,yes,dsl,yes,yes,yes,yes,no,yes,one year,no,credit card (automatic),80.0,2.67,5040.2
no,male,1,no,yes,11,yes,no,dsl,no,yes,no,yes,no,no,month-to-month,yes,electronic check,54.55,1.82,601.25
no,female,0,yes,yes,24,yes,no,no,no,no,no,no,no,no,two year,yes,mailed check,19.7,0.66,494.05
no,male,0,yes,yes,72,yes,no,fiber optic,yes,yes,no,yes,yes,yes,two year,no,bank transfer (automatic),105.5,3.52,7611.55
no,female,0,yes,yes,69,yes,yes,fiber optic,yes,yes,yes,yes,yes,no,one year,yes,credit card (automatic),105.1,3.5,7234.8
no,female,0,yes,yes,56,yes,yes,fiber optic,no,no,yes,no,yes,yes,one year,yes,credit card (automatic),99.8,3.33,5515.45
yes,male,0,no,no,17,yes,no,fiber optic,no,no,yes,no,no,no,month-to-month,yes,electronic check,76.65,2.56,1313.55
no,female,0,yes,yes,18,yes,yes,no,no,no,no,no,no,no,two year,no,mailed check,25.1,0.84,428.45
no,male,0,no,no,11,yes,no,no,no,no,no,no,no,no,two year,no,credit card (automatic),19.55,0.65,223.15
no,female,0,yes,yes,45,no,no,dsl,no,yes,yes,yes,no,yes,one year,no,bank transfer (automatic),51.0,1.7,2264.5
yes,female,1,no,no,47,yes,yes,fiber optic,no,yes,no,yes,yes,no,month-to-month,yes,electronic check,95.05,3.17,4504.55
no,female,0,yes,no,61,yes,yes,fiber optic,no,yes,no,no,yes,yes,two year,yes,bank transfer (automatic),101.05,3.37,5971.25
no,female,0,yes,yes,66,yes,yes,fiber optic,no,no,no,no,no,no,one year,yes,bank transfer (automatic),74.25,2.48,4859.25
no,female,0,no,no,42,yes,no,dsl,yes,no,yes,no,no,no,month-to-month,no,credit card (automatic),54.55,1.82,2455.05
no,female,0,yes,yes,55,yes,no,no,no,no,no,no,no,no,two year,no,credit card (automatic),19.4,0.65,1083.0
no,female,0,no,no,1,yes,no,no,no,no,no,no,no,no,month-to-month,yes,bank transfer (automatic),19.25,0.64,19.25
no,female,0,yes,no,68,no,no,dsl,yes,no,yes,no,yes,yes,one year,yes,electronic check,54.4,1.81,3723.65
no,female,0,yes,yes,1,yes,no,no,no,no,no,no,no,no,two year,no,mailed check,20.35,0.68,20.35
no,male,0,yes,no,17,no,no,dsl,no,yes,no,no,yes,yes,month-to-month,yes,mailed check,49.8,1.66,836.35
no,female,0,yes,no,15,yes,yes,dsl,no,no,no,no,no,no,month-to-month,yes,electronic check,51.1,1.7,711.15
no,male,0,yes,yes,28,yes,yes,dsl,no,yes,no,no,no,yes,month-to-month,no,electronic check,64.4,2.15,1802.15
no,male,1,yes,no,28,yes,yes,fiber optic,no,yes,no,yes,yes,yes,month-to-month,yes,electronic check,105.8,3.53,2998.0
no,male,0,yes,yes,40,yes,no,no,no,no,no,no,no,no,two year,no,mailed check,19.6,0.65,808.95
no,female,0,no,no,63,yes,yes,fiber optic,yes,yes,yes,no,yes,yes,month-to-month,no,credit card (automatic),108.25,3.61,6780.1
yes,female,1,no,no,15,yes,yes,fiber optic,no,yes,no,no,no,yes,month-to-month,no,electronic check,89.85,2.99,1424.95
yes,female,0,yes,no,14,yes,no,fiber optic,yes,yes,no,yes,yes,yes,one year,no,mailed check,105.95,3.53,1348.9
yes,male,0,no,yes,54,yes,yes,dsl,no,yes,no,no,no,no,month-to-month,yes,credit card (automatic),55.0,1.83,3092.65
no,male,0,no,no,39,yes,no,fiber optic,yes,no,yes,no,yes,yes,two year,yes,electronic check,100.45,3.35,3801.7
no,female,0,yes,yes,48,no,no,dsl,yes,yes,no,yes,no,no,two year,no,mailed check,39.4,1.31,1978.65
yes,female,0,no,no,16,yes,no,dsl,no,yes,no,yes,no,no,month-to-month,yes,mailed check,53.9,1.8,834.15
no,female,0,no,yes,44,yes,yes,dsl,no,yes,no,no,yes,yes,one year,yes,mailed check,77.55,2.58,3471.1
yes,male,0,yes,yes,1,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,yes,mailed check,70.65,2.36,70.65
no,male,0,yes,no,69,yes,no,dsl,yes,yes,no,no,no,no,one year,yes,credit card (automatic),53.65,1.79,3804.4
no,female,1,no,no,49,yes,no,dsl,no,no,no,no,no,no,month-to-month,no,mailed check,43.8,1.46,2106.05
no,female,0,no,no,24,yes,yes,no,no,no,no,no,no,no,one year,no,bank transfer (automatic),24.6,0.82,605.25
no,male,1,yes,no,71,yes,yes,no,no,no,no,no,no,no,two year,no,bank transfer (automatic),23.95,0.8,1756.2
no,male,0,yes,yes,61,yes,no,fiber optic,no,yes,no,yes,yes,yes,one year,yes,bank transfer (automatic),98.45,3.28,6145.2
no,female,0,no,no,18,yes,no,no,no,no,no,no,no,no,one year,no,mailed check,20.1,0.67,407.05
no,male,0,yes,no,27,yes,no,dsl,no,yes,no,yes,no,no,month-to-month,yes,electronic check,53.8,1.79,1389.85
no,female,0,yes,yes,64,yes,yes,fiber optic,no,yes,yes,yes,yes,yes,one year,yes,electronic check,111.45,3.72,7266.95
no,female,0,no,no,1,yes,no,no,no,no,no,no,no,no,month-to-month,no,mailed check,19.85,0.66,19.85
no,female,0,yes,yes,50,yes,yes,dsl,no,yes,yes,yes,yes,yes,one year,yes,credit card (automatic),84.15,2.8,4164.4
no,female,0,yes,no,30,yes,no,dsl,no,yes,yes,yes,no,yes,one year,no,bank transfer (automatic),70.25,2.34,2198.9
no,male,0,no,no,57,no,no,dsl,no,no,yes,yes,yes,yes,two year,no,credit card (automatic),53.35,1.78,3090.05
no,female,0,no,no,17,yes,yes,no,no,no,no,no,no,no,month-to-month,no,mailed check,24.8,0.83,475.25
no,female,0,no,no,51,yes,no,fiber optic,no,no,no,no,yes,yes,one year,no,credit card (automatic),87.55,2.92,4475.9
yes,male,0,no,no,2,no,no,dsl,no,no,no,yes,no,no,month-to-month,no,bank transfer (automatic),29.85,1.0,75.6
yes,female,0,no,no,2,yes,yes,fiber optic,no,no,no,no,no,yes,month-to-month,yes,electronic check,85.7,2.86,169.8
no,female,0,yes,yes,60,yes,yes,fiber optic,yes,yes,no,no,yes,no,one year,no,bank transfer (automatic),94.15,3.14,5811.8
yes,female,0,yes,yes,67,yes,yes,fiber optic,yes,no,yes,yes,yes,yes,two year,yes,credit card (automatic),108.75,3.62,7156.2
no,male,0,no,no,33,no,no,dsl,no,yes,no,no,yes,no,one year,yes,electronic check,39.1,1.3,1309.0
no,male,0,no,no,38,yes,no,dsl,yes,yes,no,yes,yes,no,one year,no,mailed check,70.6,2.35,2708.2
no,female,0,no,no,1,yes,no,no,no,no,no,no,no,no,month-to-month,no,electronic check,19.75,0.66,19.75
yes,male,0,no,no,1,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,74.95,2.5,74.95
no,female,0,yes,yes,16,yes,no,no,no,no,no,no,no,no,month-to-month,no,electronic check,20.4,0.68,321.4
no,male,1,yes,no,72,yes,yes,fiber optic,no,yes,yes,yes,yes,yes,two year,yes,bank transfer (automatic),109.75,3.66,7932.5
no,male,0,yes,yes,41,yes,yes,dsl,yes,yes,yes,no,yes,no,month-to-month,yes,credit card (automatic),74.55,2.48,3023.55
no,female,0,yes,yes,65,yes,yes,fiber optic,yes,no,yes,yes,yes,yes,two year,no,electronic check,109.3,3.64,7337.55
no,female,0,yes,yes,72,yes,no,no,no,no,no,no,no,no,two year,no,bank transfer (automatic),19.55,0.65,1463.45
no,female,1,yes,no,67,yes,no,no,no,no,no,no,no,no,two year,yes,bank transfer (automatic),20.05,0.67,1263.05
no,male,0,no,no,49,yes,yes,fiber optic,no,yes,no,yes,yes,yes,one year,yes,bank transfer (automatic),106.65,3.56,5168.1
no,male,0,yes,no,19,yes,yes,fiber optic,yes,yes,no,yes,no,no,month-to-month,yes,credit card (automatic),88.8,2.96,1672.35
no,female,0,yes,no,69,yes,yes,fiber optic,no,yes,yes,no,no,no,month-to-month,yes,bank transfer (automatic),85.4,2.85,5869.4
no,male,0,yes,no,47,yes,yes,no,no,no,no,no,no,no,month-to-month,no,electronic check,25.4,0.85,1139.2
no,male,0,yes,yes,53,yes,yes,dsl,yes,yes,no,no,no,yes,two year,no,bank transfer (automatic),69.7,2.32,3686.05
no,female,0,yes,no,27,yes,yes,fiber optic,no,no,yes,no,no,yes,month-to-month,no,bank transfer (automatic),90.15,3.01,2423.4
no,female,0,no,no,11,yes,yes,fiber optic,no,no,yes,no,yes,no,month-to-month,yes,electronic check,89.2,2.97,990.3
no,female,0,yes,yes,28,yes,yes,fiber optic,no,no,no,yes,no,yes,one year,yes,electronic check,90.45,3.02,2509.25
no,male,0,yes,yes,53,yes,yes,dsl,yes,yes,no,yes,no,no,one year,no,bank transfer (automatic),64.15,2.14,3491.55
no,female,0,no,no,19,yes,no,no,no,no,no,no,no,no,one year,no,credit card (automatic),20.25,0.68,383.65
no,male,0,no,no,3,yes,no,no,no,no,no,no,no,no,one year,yes,mailed check,19.45,0.65,69.25
no,female,0,yes,no,23,yes,no,dsl,no,no,no,yes,yes,no,one year,no,bank transfer (automatic),60.0,2.0,1347.15
yes,male,0,yes,no,10,yes,no,fiber optic,no,no,no,no,yes,no,month-to-month,yes,electronic check,79.95,2.66,857.2
no,male,0,yes,yes,63,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two year,yes,credit card (automatic),89.4,2.98,5597.65
yes,female,0,no,no,38,yes,no,fiber optic,yes,yes,yes,no,no,no,month-to-month,yes,credit card (automatic),83.9,2.8,3233.6
no,male,0,yes,no,61,no,no,dsl,yes,no,yes,yes,yes,yes,two year,yes,mailed check,62.15,2.07,3778.85
no,female,0,yes,no,27,yes,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,no,credit card (automatic),95.0,3.17,2462.55
no,male,0,no,no,1,yes,no,no,no,no,no,no,no,no,month-to-month,no,bank transfer (automatic),19.65,0.65,19.65
yes,male,0,no,no,13,yes,no,fiber optic,no,no,no,no,yes,yes,month-to-month,yes,electronic check,91.1,3.04,1135.7
yes,male,0,no,no,7,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,no,electronic check,73.6,2.45,520.0
no,female,1,no,no,4,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,74.45,2.48,294.45
no,female,1,no,no,8,yes,yes,fiber optic,no,no,no,no,no,yes,month-to-month,no,electronic check,85.2,2.84,695.75
no,female,0,yes,no,12,yes,no,dsl,yes,no,no,yes,no,no,month-to-month,no,bank transfer (automatic),54.2,1.81,690.5
yes,female,0,no,no,7,yes,no,dsl,no,no,no,yes,yes,no,month-to-month,yes,mailed check,59.5,1.98,415.95
no,female,0,yes,no,56,yes,no,fiber optic,yes,no,yes,no,no,no,two year,no,bank transfer (automatic),80.3,2.68,4513.65
no,female,0,yes,yes,52,yes,yes,no,no,no,no,no,no,no,two year,no,mailed check,23.05,0.77,1255.1
yes,male,0,yes,yes,23,yes,yes,dsl,no,no,no,no,no,no,one year,yes,credit card (automatic),48.35,1.61,1067.15
no,male,0,yes,yes,20,yes,no,dsl,no,no,yes,no,no,no,month-to-month,yes,electronic check,49.6,1.65,939.8
no,male,0,yes,yes,68,no,no,dsl,yes,yes,yes,yes,no,yes,two year,yes,mailed check,56.4,1.88,3948.45
no,male,0,no,no,3,yes,no,fiber optic,yes,no,no,no,no,yes,month-to-month,yes,mailed check,86.05,2.87,244.85
yes,female,0,no,no,6,yes,no,dsl,no,no,no,yes,no,no,month-to-month,yes,bank transfer (automatic),49.65,1.66,267.35
no,male,0,yes,no,50,yes,no,no,no,no,no,no,no,no,two year,no,mailed check,20.55,0.68,1067.65
no,male,0,no,no,60,yes,yes,fiber optic,no,yes,no,no,yes,no,month-to-month,yes,bank transfer (automatic),89.9,3.0,5450.7
no,female,0,no,no,4,no,no,dsl,yes,no,yes,yes,no,yes,month-to-month,no,mailed check,48.25,1.61,202.25
no,male,0,no,no,45,yes,yes,fiber optic,yes,no,yes,yes,yes,yes,month-to-month,yes,credit card (automatic),108.45,3.62,4964.7
no,male,0,yes,yes,25,yes,no,fiber optic,no,yes,no,no,no,no,month-to-month,yes,electronic check,75.5,2.52,1901.05
no,male,1,yes,no,43,yes,no,fiber optic,no,yes,yes,no,yes,yes,one year,yes,bank transfer (automatic),100.55,3.35,4304.0
yes,female,0,yes,yes,12,yes,no,no,no,no,no,no,no,no,month-to-month,no,mailed check,19.0,0.63,233.55
no,female,0,no,no,9,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,76.85,2.56,663.55
no,female,0,no,no,62,yes,no,dsl,yes,no,no,yes,no,yes,two year,yes,mailed check,65.1,2.17,3846.75
no,male,0,yes,yes,40,yes,no,no,no,no,no,no,no,no,month-to-month,yes,bank transfer (automatic),20.4,0.68,745.3
no,male,0,no,yes,6,yes,yes,no,no,no,no,no,no,no,month-to-month,no,mailed check,26.35,0.88,184.05
no,male,0,yes,yes,20,yes,no,no,no,no,no,no,no,no,two year,no,mailed check,20.05,0.67,400.0
